Text,Intent
"what is the forecast for","DemandForecast"
"predict demand for","DemandForecast"
"how many will sell next month","DemandForecast"
"forecast for next month","DemandForecast"
"what will be the demand","DemandForecast"
"show me predictions","DemandForecast"
"projected sales","DemandForecast"
"future demand","DemandForecast"
"estimate sales","DemandForecast"
"sales prediction","DemandForecast"
"monthly forecast","DemandForecast"
"what is the forecast for wireless mouse","DemandForecast"
"predict demand for laptops","DemandForecast"
"how many phones will we sell","DemandForecast"
"forecast for samsung tv","DemandForecast"
"show demand for keyboard","DemandForecast"

"how many are in stock","CurrentStock"
"what is the stock level","CurrentStock"
"current inventory","CurrentStock"
"stock count","CurrentStock"
"available quantity","CurrentStock"
"how much stock do we have","CurrentStock"
"show me inventory","CurrentStock"
"check stock","CurrentStock"
"what is available","CurrentStock"
"stock status","CurrentStock"
"inventory level","CurrentStock"
"how many laptops in stock","CurrentStock"
"stock of wireless mouse","CurrentStock"
"do we have headphones","CurrentStock"
"quantity available for","CurrentStock"

"show low stock items","LowStockAlert"
"products running out","LowStockAlert"
"what needs reordering","LowStockAlert"
"low inventory alert","LowStockAlert"
"critical stock levels","LowStockAlert"
"items below reorder level","LowStockAlert"
"stock shortage","LowStockAlert"
"running low on","LowStockAlert"
"out of stock items","LowStockAlert"
"which products are low","LowStockAlert"
"reorder recommendations","LowStockAlert"
"show items that are low in stock","LowStockAlert"
"what products do i need to order","LowStockAlert"
"stock running out","LowStockAlert"
"inventory shortage","LowStockAlert"

"tell me about product","ProductInfo"
"product details for","ProductInfo"
"what is the price of","ProductInfo"
"information about","ProductInfo"
"product info","ProductInfo"
"details of","ProductInfo"
"describe","ProductInfo"
"what is","ProductInfo"
"show me","ProductInfo"
"find product","ProductInfo"
"look up","ProductInfo"
"tell me about iphone","ProductInfo"
"what is the price of dell laptop","ProductInfo"
"product details for keyboard","ProductInfo"
"information about samsung tv","ProductInfo"

"price optimization","PriceOptimization"
"should i change prices","PriceOptimization"
"discount suggestions","PriceOptimization"
"recommend price changes","PriceOptimization"
"pricing strategy","PriceOptimization"
"optimize pricing","PriceOptimization"
"price recommendations","PriceOptimization"
"suggest discounts","PriceOptimization"
"overstocked items discount","PriceOptimization"
"what products need price adjustment","PriceOptimization"
"which items should i discount","PriceOptimization"
"price reduction suggestions","PriceOptimization"
"pricing opportunities","PriceOptimization"
"adjust prices","PriceOptimization"
"promotional pricing","PriceOptimization"

"show suppliers","SupplierInfo"
"supplier information","SupplierInfo"
"vendor details","SupplierInfo"
"who supplies us","SupplierInfo"
"list suppliers","SupplierInfo"
"supplier list","SupplierInfo"
"our vendors","SupplierInfo"
"who provides","SupplierInfo"
"supplier contacts","SupplierInfo"
"vendor performance","SupplierInfo"
"best suppliers","SupplierInfo"
"top rated suppliers","SupplierInfo"
"supplier scorecard","SupplierInfo"
"show vendor information","SupplierInfo"
"who are our suppliers","SupplierInfo"

"sales report","SalesReport"
"how much did we sell","SalesReport"
"revenue this week","SalesReport"
"weekly sales","SalesReport"
"monthly revenue","SalesReport"
"sales figures","SalesReport"
"show sales","SalesReport"
"revenue report","SalesReport"
"total sales","SalesReport"
"sales summary","SalesReport"
"how much revenue","SalesReport"
"sales this month","SalesReport"
"sales performance","SalesReport"
"what were the sales","SalesReport"
"show me the sales report","SalesReport"

"hi","GeneralHelp"
"hello","GeneralHelp"
"hey","GeneralHelp"
"help","GeneralHelp"
"what can you do","GeneralHelp"
"capabilities","GeneralHelp"
"how can you help","GeneralHelp"
"what do you do","GeneralHelp"
"menu","GeneralHelp"
"options","GeneralHelp"
"assist me","GeneralHelp"
"guide me","GeneralHelp"
"what are you","GeneralHelp"
"who are you","GeneralHelp"
"introduce yourself","GeneralHelp"
